ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.04,0.0,0.04458333333333333,0.21666666666666667,0.69875
2,0.37166666666666665,0.18,0.0,0.3216388888888889,0.12669444444444444
3,0.546615805163273,0.0,0.0,0.1550614917802704,0.2983227030564565
4,0.045,0.0,0.01,0.015,0.93
5,0.8157142857142857,0.0,0.0,0.06142857142857142,0.12285714285714285
6,0.35608333333333336,0.0,0.06266666666666666,0.54625,0.035
7,0.09,0.0,0.03,0.4513333333333332,0.4286666666666668
8,0.5454523809523811,0.0,0.0,0.0,0.454547619047619
9,0.6083333333333334,0.0,0.0,0.025,0.3666666666666667
10,0.6873838615804562,0.0,0.0,0.09557144334853312,0.21704469507101087
11,0.5503333333333333,0.0,0.0,0.263,0.18666666666666665
12,0.22,0.0,0.01,0.23989087301587303,0.530109126984127
13,0.45925,0.0,0.0,0.26916666666666667,0.2715833333333333
14,0.3442857142857143,0.0,0.0,0.005,0.6507142857142857
15,0.7970059523809523,0.0,0.0,0.13594642857142858,0.06704761904761904
16,0.615,0.0,0.0,0.15,0.235
17,0.33378968253968255,0.0,0.05,0.5395317460317459,0.07667857142857143
18,0.405,0.0,0.0,0.53,0.065
19,0.21388888888888885,0.0,0.016833333333333332,0.10829166666666666,0.6609861111111112
20,0.0,0.0,0.125,0.0,0.875
21,0.48570833333333324,0.0,0.0,0.005625,0.5086666666666667
22,0.0,0.025,0.06627741969906042,0.0,0.908722580300939
23,0.5020357142857143,0.0,0.0,0.4392103174603176,0.05875396825396825
24,0.0,0.0,0.00045454545454545455,0.0,0.9995454545454545
25,0.4865,0.0,0.0,0.46,0.0535
26,0.665,0.0,0.05326724664224664,0.0,0.28173275335775333
27,0.86675,0.0,0.0,0.0,0.13325
28,0.02,0.0005,0.017,0.01,0.9525
29,0.28547222222222224,0.0,0.0029642857142857144,0.4830873015873016,0.22847619047619055
30,0.4545212130287769,0.0,0.0,0.4396476865832043,0.10583110038801889
31,0.45,0.0,0.03,0.02,0.5
32,0.9984999999999999,0.0,0.0,0.0,0.0015
33,0.3316666666666667,0.0645,0.03907210844710845,0.035,0.5297612248862248
34,0.8701868686868689,0.0,0.0,0.00625,0.12356313131313128
35,0.5255378787878788,0.01,0.01701046176046176,0.0,0.4474516594516595
36,0.9400833333333334,0.0,0.01,0.03991666666666667,0.01
37,0.17608730158730157,0.0,0.0075,0.006111111111111111,0.8103015873015873
38,0.9333978666972865,0.0,0.0,0.0016666666666666666,0.06493546663604705
39,0.71,0.0,0.0,0.23,0.06
40,0.43733333333333335,0.0,0.0,0.37,0.19266666666666668
41,0.015,0.0,0.025,0.32,0.64
42,0.0,0.0,0.0,0.0,1.0
43,0.31596192696192693,0.0,0.0,0.3407728243978245,0.3432652486402487
44,0.0,0.0,0.0,0.01,0.99
45,0.08383333333333333,0.0,0.05116071428571428,0.0,0.8650059523809525
46,0.8108333333333333,0.0,0.0,0.005,0.18416666666666665
47,0.63375,0.0,0.005,0.16666666666666663,0.19458333333333336
48,0.3977503788995662,0.0,0.016157443240454074,0.5677879664625021,0.018304211397477652
49,0.2945833333333333,0.0,0.01875,0.5316666666666666,0.155
50,0.035,0.055,0.03,0.27,0.61
51,0.43683333333333335,0.0,0.02,0.0,0.5431666666666666
52,0.625,0.0,0.0,0.32,0.055
53,0.8606872807275281,0.0,0.0,0.005,0.13431271927247157
54,0.1394166666666667,0.35517857142857145,0.01,0.0,0.4954047619047618
55,0.0,0.0,0.4541666666666667,0.0,0.5458333333333334
56,0.38913492063492067,0.0,0.0,0.08419841269841269,0.5266666666666666
57,0.9154166666666665,0.0,0.005,0.03375,0.04583333333333333
58,0.0,0.0,0.0,0.0,1.0
59,0.0,0.0,0.01389044289044289,0.0,0.9861095571095571
60,0.825,0.0,0.0,0.005,0.17
61,0.7683333333333333,0.0,0.005,0.005,0.22166666666666668
62,0.5479999999999999,0.0,0.01,0.215,0.22699999999999998
63,0.4912142857142857,0.0,0.0,0.4483571428571429,0.060428571428571415
64,0.0,0.0,0.0,0.0,1.0
65,0.004166666666666667,0.04853696997446999,0.09583333333333334,0.0,0.8514630300255297
66,0.9516388888888889,0.0,0.0,0.047833333333333325,0.0005277777777777777
67,0.9578636363636364,0.0,0.0,0.01,0.032136363636363637
68,0.1225,0.0,0.085,0.24833333333333332,0.5441666666666667
69,0.3734910332722833,0.0,0.0,0.4819200244200244,0.14458894230769231
70,0.0,0.01,0.1775,0.0,0.8125
71,0.0,0.0,0.02,0.035,0.945
72,0.7441666666666665,0.0,0.0,0.003333333333333333,0.2525
73,0.0,0.0017045454545454547,0.03,0.0,0.9682954545454545
74,0.2866313131313131,0.0,0.0,0.6742020202020202,0.03916666666666666
75,0.0,0.0,0.0,0.0,1.0
76,0.7771706349206349,0.0016666666666666666,0.07313492063492064,0.0,0.14802777777777776
77,1.0,0.0,0.0,0.0,0.0
78,0.046916666666666676,0.0,0.07066666666666667,0.0,0.8824166666666666
79,0.25916666666666666,0.0,0.00875,0.5158333333333333,0.21625
80,0.9946964285714285,0.0,0.0,0.0,0.005303571428571428
81,0.0,0.26,0.0180728576978577,0.0,0.7219271423021424
82,0.0,0.055,0.013333333333333332,0.0,0.9316666666666668
83,0.386,0.0,0.00125,0.14275000000000002,0.47
84,0.0,0.04599007936507937,0.01,0.0,0.9440099206349208
85,0.46575000000000005,0.0,0.045,0.44508333333333333,0.04416666666666667
86,0.0075,0.5536666666666666,0.21883333333333335,0.0,0.22
87,0.135,0.0,0.020833333333333336,0.17398809523809525,0.6701785714285714
88,0.44000000000000006,0.0,0.21125,0.12916666666666665,0.21958333333333335
89,0.015,0.0,0.045,0.0,0.94
90,0.7831600359768891,0.0,0.0,0.027940974124120953,0.18889898989898987
91,0.0,0.0,0.21758333333333332,0.005,0.7774166666666666
92,0.0,0.0,0.3806038961038961,0.0,0.619396103896104
93,0.7575833333333334,0.0,0.0,0.0,0.24241666666666667
94,0.39233333333333337,0.0,0.015,0.24516666666666664,0.3475
95,0.196,0.10467857142857141,0.09035714285714284,0.0,0.6089642857142858
96,0.6318333333333332,0.0,0.0,0.21608333333333335,0.15208333333333332
97,0.11083333333333333,0.0,0.0,0.5229166666666667,0.36625
98,0.0,0.0,0.0,0.0,1.0
99,0.7771706349206349,0.0016666666666666666,0.07313492063492064,0.0,0.14802777777777776
100,0.34883333333333333,0.0,0.015,0.5341666666666667,0.102
101,1.0,0.0,0.0,0.0,0.0
102,0.3378939690194504,0.0,0.0,0.01626637044159509,0.6458396605389545
103,0.7292083333333332,0.0,0.0,0.2062916666666667,0.0645
104,0.6863234126984128,0.0,0.0,0.10519841269841267,0.20847817460317458
105,0.32536490504679366,0.0,0.0,0.00833992987147012,0.6662951650817363
106,0.4361454961561199,0.0,0.05288119650793553,0.2980664681217819,0.21290683921416245
